DRUGID,TARGETID,DRUGNAME
D02RHV,T51408,PROXODOLOL
D08LZI,T86591,NS-220
D0N1HL,T47768,Frakefamide
D0DT2P,T21324,Nafagrel
D03JHJ,T92072,FK-352
D0D5CJ,T43415,SDZ-LAP-977
D0V2CN,T10265,LAS-37779
D0S5ZJ,T32060,SERGOLEXOLE MALEATE
D06SBK,T34234,Atocalcitol
D03VCF,T71011,Urtoxazumab
D0R5QQ,T86591,AVE-8134
D08WCU,T67952,BMS-180448
D0A0MU,T14342,FOZIVUDINE TIDOXIL
D0W7GH,T35640,IC-747
D0KX9Z,T68536,S-12363
D00CQW,T17345,TNP-351
D0B4EV,T54128,IPENOXAZONE
D0D2SG,T22348,99mTc-ciprofloxacin
D0IZ1D,T83875,Brofaromine
D0O1MP,T86836,CARZELESIN
D0N1EC,T20103,WY-47766
D0Y3RY,T62820,R-1578
D04SOS,T79961,BMS-181168
D0X9PW,T81905,Tesmilifene
D0B8JQ,T86591,KRP-101
D0B5KE,T80701,EB-1053
D04RZZ,T89846,A-5021
D0W0ED,T76369,Eflucimibe
D00LWF,T67952,P-1075
D0C1TJ,T92138,HN-10200
D07QWZ,T14342,AZT-P-DDI
D0X1EX,T92138,TIBENELAST
D01EDS,T28722,SL-65.1498
D03KJV,T23547,Ultramorph
D0V7MA,T32060,AMESERGIDE
D05YLO,T14597,Her-2-Bi-armed ATC
D0X3LD,T71501,Valtorcitabine
D0U5EU,T00140,SC-45662
D0BZ1Q,T60529,CRx-401
D09WRI,T96144,ELINAFIDE MESILATE
D04HXS,T78709,REC-15/3079
D08HGY,T59679,Naronapride
D00HFD,T00140,E-6080
D04QVN,T00140,FPL-64170
D0Q3WN,T94033,Napsagatran
D0B3DX,T18950,Norelin
D0V7GC,T78356,Rolafagrel
D09TEI,T77913,ReN-1869
D06BHQ,T74225,YM-17K
D0I2MA,T95212,IO-21
D0F6JI,T78244,AR-D-111421
D05RUJ,T89747,G-1128
D08PIJ,T67952,JTV-506
D0C7OQ,T61698,BIWB-1
D01AXT,T89534,NP-50301
D0TX8Z,T45993,FLOSATIDIL
D0T2EP,T30418,CLOTURIN
D0X7HV,T67952,ZD-6169
D05EEJ,T85574,ETRX-101
D0S1AD,T68668,Tridolgosir
D0I4GI,T34234,RO-26-9228
D0C5KG,T59955,ORG-33628
D0Z8UQ,T85435,DM-83
D00WOT,T10965,CDP-850
D0KV4Z,T59626,CI-949
D0SB6K,T84160,DAT-582
D0B9NA,T76198,ICI-192605
D06TZT,T74456,RIPISARTAN
D04BIG,T89534,SR-90067
D08DWH,T82577,Idrapril
D0Q8UU,T86591,BM-17.0744
D09MTC,T47768,ADL-5945
D00WJE,T77913,SUN-1334H
D0D5ZR,T75440,TRO-40303
D05RBO,T25950,OPM-3023
D00QCB,T59102,SRI-62-834
D0U0QI,T53381,GYKI-16084
D0M0VN,T86836,BISNAFIDE MESILATE
D06AVN,T27265,CS-891B
D01IYQ,T37308,TAK-201
D0K1LO,T99935,R-873
D0ML9K,T27106,T-506
D09EEV,T28893,Declopramide
D07MZC,T94033,Vasoflux
D0F3FB,T30082,S-9977
D0H6PN,T28722,LORECLEZOLE
D03ABH,T53381,Deriglidole
D0K3LX,T43332,RNAPc2
D0U9JL,T59626,LY-223982
D0G0LH,T45993,S-312-d
D06QOJ,T83875,RS-8359
D07ZHV,T75498,CB1954
D0UG4T,T02001,CDP840
D00FMV,T60366,Putrescine
D0N4OZ,T68536,Epothilone D
D0H9KW,T10265,Filaminast
D0E4FM,T40954,Y-700
D0T2TK,T15497,ZD6416
D08ZCW,T40332,ZD-8321
D08ORO,T00140,OPC-21268
D0A2OW,T46185,Otenzepad
D04FXS,T73342,Didox
D0U4FW,T78709,DU 125530
D0JH6W,T84631,DX-9065a
D09ELW,T61622,Enalkiren
D0G5GJ,T84631,R-68151
D0QH0B,T88714,EPI-2010
D0H7GH,T00140,ETH615
D03UID,T78111,RJR-2403
D0P4IK,T40332,FK-706
D08JAP,T78709,Robalzotan
D0NC9Y,T12279,ISIS 2105
D09ADT,T82543,ABT-418
D0X4AV,T05849,GV-150013
D0K0VH,T68782,S-5751
D00TNC,T75440,S-8510
D00ECO,T73724,SIB-1553A
D09ZQX,T59679,SL65.0155
D0N9WB,T14558,APC-366
D05OVC,T31424,Atipamezole
D08SNL,T52921,JTC-801
D09OAQ,T75596,TNP-470
D04ZWH,T10513,"UK-279,276"
D0T5GT,T40332,CE-1037
D0D1XG,T76369,CI-976
D0LL9K,T92609,L-771688
D0B2BQ,T30082,Icopezil maleate
D00FYF,T31391,NVP-DPP728
D0N8QQ,T92403,CARIPORIDE
D02NGR,T20251,MK-499
D00DBE,T10265,CI-1018
D0Z5LZ,T66665,Tilmacoxib
D0Y2OG,T13260,YM-511
D0B6JV,T59626,SB-201993
D03BOZ,T52450,RS-130830
D0C1SI,T70309,MK-386
D0V9RU,T92403,ENIPORIDE
D0GT8W,T35640,BMS-587101
D00VPV,T12475,TAK-013
D0K1SZ,T64591,Norcisapride
D08FGX,T49072,PALOSURAN
D07HBI,T93566,ZD-2138
D0W1MX,T81850,BMS-187745
D0J5GT,T61622,ZANKIREN
D0EC2K,T43739,SIPATRIGINE
D04WCI,T65864,PAMAPIMOD
D03ZBM,T23714,NPC-567
D0EI1U,T37539,DCDT-2980S
D0RL4M,T28330,Pranazepide
D01HBE,T68536,RHIZOXIN
D0J9UB,T37539,RG7593
D02TTF,T76414,YM-90K
D0E2CQ,T59328,RG7160
D0S7IZ,T66665,Apricoxib
D01AFG,T40010,RG7414
D06PYP,T83193,JTS-653
D06NPB,T29754,GLPG-0259
D0K2BQ,T07663,BRL-61063
D04NPP,T07663,SLX-2101
D05ILZ,T15439,NN8209
D07ATG,T46642,GSK2190914
D02GSA,T53585,RBx10558
D0E4EZ,T31391,R-1438
D01ESB,T27812,YM-992
D0J7EP,T16691,AVN 397
D01NUG,T40016,GSK870086
D00RMD,T26220,FK-960
D00VZF,T96144,Merbarone
D00YFP,T41750,RG7697
D01IPI,T05409,Gemopatrilat
D01JOJ,T58920,RX-77368
D01LFA,T19784,ARX-201
D01ORM,T96144,Mitonafide
D01SPI,T89950,CGRP
D01VPK,T92072,FK-453
D02CQL,T95913,Adyvia
D02FIJ,T52790,FK-224
D02JMI,T67162,SLV-310
D02KKQ,T67162,BAM-1110
D02VUX,T67162,PF-217830
D02ZKL,T86591,Reglixane
D03CKX,T50688,Cromafiban
D03EZB,T92687,AR-H047108
D03FFY,T42446,AZD3355
D03SFN,T11072,Elzasonan hydrochloride
D03WPI,T96144,NC-190
D04DMQ,T84160,Fabesetron
D04ENK,T87023,TCV-309
D04HHW,T71192,FK-011
D04HLE,T67363,Vitaxin
D04RLX,T25258,Tariquidar
D04ZLJ,T96144,LOSOXANTRONE
D05BTR,T86836,Tallimustine
D05ERT,T55285,GV-196771
D05HZI,T38301,"MDL 101,731"
D05OFO,T63967,TC-2696
D05VZJ,T92828,J-104132
D05YAS,T33754,Tolafentrine
D06EDT,T26623,ZOPOLRESTAT
D06GCP,T67684,PSD-506
D06GDH,T83193,DA-5018
D06KOL,T21945,Napitane mesilate
D06LGC,T50688,ZD-2486
D06PQR,T33754,OPC-8490
D07AOY,T40696,Avarofloxacin
D07BKL,T96144,KW-2170
D07FJM,T56915,BRECANAVIR
D07FNG,T45993,AM336
D07GFF,T59328,PKI166
D07HTX,T96144,GL-331
D07QAA,T84160,BRL-46470
D07VPG,T96144,BW-773U82
D07XDS,T34743,Tomopenem
D07YCR,T09826,S-16020-2
D07YHT,T92828,ENRASENTAN
D08AWI,T78709,PRX-00023
D08CLN,T28722,Suritozole
D08FZT,T43739,Corus 1030
D08JNE,T62820,RG1578
D08PAV,T59102,CDP-860
D08WGZ,T30085,TS-033
D08WSW,T67952,BRL-32872A
D09AFJ,T50688,SR-121787
D09CFM,T22348,DANOFLOXACIN
D09EVZ,T00972,BMS-488043
D09JXL,T26220,SEGLITIDE
D09WCE,T11072,IS-159
D0AB4Q,T63967,Ispronicline
D0B2OC,T27812,R-sibutramine metabolite
D0B3MX,T82841,NBI-6024
D0B5PU,T23499,BMS-193884
D0B6EU,T74238,AS-35
D0B7HX,T45993,Levosemotiadil
D0C9FF,T52790,DNK-333
D0E2PX,T67952,E-4031
D0E5MJ,T88185,INCB19602
D0E6NR,T22348,BAY-Y-3118
D0EE6L,T02551,BP-897
D0EK6D,T92072,FK-838
D0F4IG,T74238,DS-4574
D0F8BS,T28893,YM-796
D0FH3X,T02551,A-437203
D0G8UG,T74238,Sulukast
D0GY4V,T92687,TY-11345
D0H4UJ,T94033,INOGATRAN
D0H9WO,T50688,Gantofiban
D0K2ER,T00140,MK-886
D0K2PH,T14342,Elvucitabine
D0K4ED,T22348,Ro-23-9424
D0L1DP,T63967,ABT-089
D0L2IQ,T05409,Fasidotril
D0LC2B,T33754,NSP-805
D0LF5B,T76685,KN-38-7271
D0M4LW,T26220,BIM-23268
D0M4RX,T41750,RG7685
D0M5CU,T50688,YM-337
D0M8PL,T63966,Angiozyme
D0N5HN,T82577,M-100240
D0N6PV,T50688,MK-852
D0O0FF,T55285,GW 468816
D0O6AQ,T55285,Gavestinel
D0O6QW,T55959,Manifaxine
D0OQ3L,T32060,SL65.0472
D0P2MH,T02777,BTS-67582
D0P7WJ,T95399,PSN357
D0Q0YN,T92687,SORAPRAZAN
D0Q1HG,T34743,PA-1806
D0Q4UY,T22348,CFC-222
D0Q9RR,T34429,AZD0328
D0R0EV,T87023,E-6123
D0R0TF,T87023,BN50727
D0S3RB,T50688,ELAROFIBAN
D0S6SU,T02777,KRN-2391
D0S8DB,T33754,Org-9731
D0SX4K,T61400,HR325
D0SX7F,T73726,AZALANSTAT
D0T3CE,T96144,SUPER-LEU-DOX
D0T3VO,T40696,DX-619
D0U1SI,T49639,Bimoclomol
D0UH4T,T92072,GW-493838
D0V3CM,T14342,Opaviraline
D0V7IS,T33754,Pumafentrine
D0W2IU,T86591,AVE-0847
D0W4OL,T50688,FK-633
D0W6XL,T92828,SB-209670
D0W7IR,T86192,DMP-543
D0W7KD,T22348,FANDOFLOXACIN HYDROCHLORIDE
D0W8VY,T22348,A-86719.1
D0X1YF,T54771,T-1095
D0X2PQ,T16340,IX207-887
D0X4IA,T61400,FK778
D0XJ0S,T05849,PD-134308
D0Y0SY,T84160,E-3620
D0Z1RQ,T05849,L-365260
D0Z7MJ,T68066,Prednisolone sodium metazoate
D0ZI0K,T01777,NMI-870
D0ZR3N,T00972,Pro 542
D01JGG,T36557,Sodelglitazar
D02ESK,T83793,GSK-732461
D05WTZ,T68251,Galarubicin
D09OHP,T36557,Indeglitazar
D0G1YN,T47768,DPI-3290
D0LU6N,T21945,SPD-473
D0M9LB,T55959,NS-2389
D0P3KA,T93566,TEBUFELONE
D0X2TO,T32060,Adatanserin
D1SWN3,T84173,Afegostat
DM3J5I,T69619,BI 1467335
D0L9YS,T84631,Octopamine
D0IP6X,T29683,Osanetant
D0J3YX,T43332,BAY 86-6150
D0K6SM,T82577,Ilepatril
D0K0GN,T79473,LDI-200
D05KFA,T47094,BL-1832
D0AK5G,T69912,RPAF-AH
D04BQR,T39716,Acecainide
D09YTY,T30985,Osutidine
D0G6EO,T49493,Hemoximer
D0T0LE,T11822,IRX-4310
D03LQQ,T67952,Alinidine
D02VZP,T78709,Flesinoxan
D0GR2J,T89534,Idoxifene
D07RPR,T40730,Bropirimine
D0PE0D,T61698,Nuleusin
D0Y9XD,T53585,Dalvastatin
D0L8ZX,T81905,OX-NLA
D0P4BQ,T02719,LY-544344
D04KHH,T34743,CEFCANEL DALOXATE HYDROCHLORIDE
D0L7SY,T01777,Delequamine hydrochloride
D09EDW,T73476,Deligoparin sodium
D03IKZ,T18477,HBP-347
D08MTG,T73726,Abafungin
D0ZE9C,T28722,Pazinaclone
D07VZV,T92072,N-0861
D0J6TN,T38179,2085-P
D05WEP,T83875,Befloxatone
D03GAI,T11451,IR-103
D0B9EN,T86591,Aleglitazar
D00OEG,T16156,RhTPO
D06FBB,T53601,Azithromycin/chloroquine
D0J0AE,T76685,CP-945598
D0L9AJ,T73676,Seletracetam
D0CY3A,T84631,Idraparinux
D0U9TM,T26623,Ponalrestat
D0J0RV,T43189,Larotaxel
D0W7UO,T20331,CGP71683A
D0E2MJ,T84631,Otamixaban
D07ESH,T77365,PF-1913539
D0S6VB,T46642,DG031
D09LPI,T67894,BCG65-E7
D02FXU,T81850,Lapaquistat acetate
D02HVW,T23499,Zibotentan
D0WR3D,T86836,Abetimus sodium
D0W5RL,T22939,Asoprisnil
D03MCV,T83369,RB-006
D05WJQ,T52790,Saredutant
D0Q1CD,T68251,Tanomastat
D02EMR,T61744,Cilomilast
D0I0VY,T38179,DA-7101
D09GGJ,T92072,CVT-124
D09TGX,T84631,Valspodar
D0G6SZ,T09960,GW873140
D00YSJ,T88318,Tecadenoson
D04SPK,T76198,Seratrodast
D06TGE,T76685,Taranabant
D00RSK,T66665,GW-406381
D00XPA,T47094,L-759274
D0Q6SD,T67162,Lamectacin
D08NLQ,T29303,Licarbazepine
D0D5ZX,T84160,RG-12915
D02VCK,T01777,FLUPAROXAN
D06YXD,T47077,Taprostene
D0FQ6O,T28532,Etarotene
D01OML,T89534,IoGen
D02VFB,T89534,Miproxifene
D0C9JL,T28722,Y-23684
D0A2IH,T30985,KU-1257
D0HQ3A,T45993,ELGODIPINE HYDROCHLORIDE
D0H0EM,T93062,Dofequidar fumarate
D0Z7FU,T90782,INS 316
D0HK7R,T69494,Midafotel
D0B9GM,T98906,Oxibendazole
D0G9LP,T47623,Neutralase
D00KEF,T50942,Org-2766
D01YDF,T30985,Pibutidine
D00LWS,T99954,Ataprost
D0Y4AZ,T52227,Galocitabine
D0S6GJ,T03403,KC-764
D0G2XN,T45993,S-12968
D01BPF,T11072,Avitriptan
D0P6MB,T60708,Pexelizumab
D0J8RM,T77796,Posatirelin
D09ESW,T45993,Anipamil
D04DZD,T29303,Bidisomide
D0N5AY,T44771,Ranagengliotucel-T
D08FOX,T92138,Piroximone
D06IQE,T60810,H1N1 influenza vaccine
D08LIF,T23547,Propiram fumarate
D0RT5T,T86836,ARANOSE
D0Y4EM,T08583,Thrombomodulin
D05YUK,T87023,FOROPAFANT
D0D6ZK,T80452,"15(S)-hydroxyeicosatetraenoic acid (ophthalmic, dry eye), Alcon"
D07AWM,T20178,Segard
D0N7WR,T20297,Sepimostat mesylate
D0V7HI,T66665,PRINOMIDE TROMETHAMINE
D0OR2S,T52522,Broxaterol
D0AM8W,T30082,Zanapezil
D0K1QO,T34743,CEFETECOL
D0L5BK,T86836,KW-2149
D03HVN,T83145,P-1
D0Y0RW,T07806,Alniditan
D0UX0T,T09130,Milameline
D0L8QQ,T30082,VELNACRINE
D04SBH,T67684,Zamifenacin
D0MU0S,T89534,EM-800
D0CV7Z,T43189,Epothilone B
D0K8NW,T38338,Ritanserin
D0H1FV,T69494,Selfotel
D0O1KX,T76369,Avasimibe
D01OKS,T08922,Axokine
D00LBD,T81183,Metazosin
D0V1RX,T31424,Mivazerol
D0R9ON,T40332,MR-889
D07EXV,T50688,XEMILOFIBAN
D05MFO,T32060,MDL-11939
D00QFY,T99954,YM533
D06VJK,T81548,Verpasep caltespen
D0B8YZ,T08910,ELTANOLONE
D0B1GX,T32060,Iferanserin-Ventrus
D0Q7AW,T26623,IMIRESTAT
D0I9LH,T61698,PMI-001
D03GYK,T68782,Laropiprant+niacin
D07OGZ,T84631,Darexaban maleate
D0Z5VQ,T76198,Terutroban sodium
D01OSN,T18639,Riferminogene pecaplasmid
D00LVA,T63967,Dianicline
D00VAJ,T50688,ORBOFIBAN
D01DAW,T67162,Bifeprunox
D01LAC,T83011,MOFEGILINE
D01QQM,T50688,LAMIFIBAN
D01YOC,T78709,BMS-181100
D02THB,T92687,SKF-96067
D05VYJ,T42446,SUN-09
D06DCL,T93062,LY335979
D08JCL,T27265,ONO-3805
D08YYY,T28722,Ocinaplon
D09DIG,T71192,Ablukast
D0B3LP,T75440,Ro-16-6028
D0C5PA,T67162,Sibenadet
D0E6UA,T83813,Deramciclane
D0G2RE,T87023,BN 50730
D0H6CA,T70888,Lenercept
D0J6JZ,T26623,MINALRESTAT
D0L5UO,T31479,Darapladib
D0LA5G,T53601,Evernimicin
D0M8HH,T92687,PUMAPRAZOLE
D0N0BI,T50688,SIBRAFIBAN
D0N1FR,T09826,BECATECARIN
D0Q0SZ,T22348,OLAMUFLOXACIN MESILATE
D0S2GT,T20178,CDP571
D0S4LL,T34743,Sanfetrinem
D0S6QR,T67952,BMS-204352
D0SV7D,T50688,LOTRAFIBAN
D0V4RH,T14342,Lobucavir
D0W8RX,T30081,Sitimagene ceradenovec
D0X9VP,T82266,Furnidipine
D0YE2N,T53601,Eperezolid
D0YG4I,T20761,Bevasiranib
D0Z0CH,T67952,Almokalant
D0Z2WQ,T02551,Quinelorane
D00DQX,T57700,Motesanib
D01EUF,T73475,BMS 275291
D02ALD,T67162,NOLOMIROLE HYDROCHLORIDE
D0D3PX,T49898,SCH 727965
D0E0JF,T03403,Pirazolac
D0U2CT,T52227,EMITEFUR
D0L0MO,T78356,Satigrel
D0FX4J,T09130,Telenzepine
D0KT8U,T45993,Semotiadil
D0X8DU,T99954,Clinprost
D01KKB,T51408,PW-2101
D0Y0ZQ,T01777,Ecabapide
D04DAL,T11822,LAS-41001
D07EGW,T45993,AE-0047
D0Y0GG,T51408,Epanolol
D01HRR,T76198,Domitroban
D05NBD,T77796,MONTIRELIN TETRAHYDRATE
D0P0TR,T52522,Meluadrine
D01IRW,T03403,Bermoprofen
D06TVG,T78111,Inaperisone
D0OO6A,T21324,Isbogrel
D06LDC,T45993,Palonidipine hydrochloride
D00KOV,T45993,Monatepil maleate
D08LDS,T39716,LUBELUZOLE
D02HKL,T28722,Suriclone
D08DKA,T67952,Levcromakalim
D0QZ4S,T92687,LEMINOPRAZOLE
D0QU8H,T67162,(S)-amisulpride
D05HDX,T36557,GW-501516
D01PIL,T67162,Remoxipride
D0Y2HR,T77913,Astemizole
D0OC3J,T67162,Flupenthixol
D08SOF,T77913,Terfenadine
D07XPE,T38875,Phenformin
D0SU1G,T03403,Zomepirac
D01MXV,T15117,Etilefrine
D0T1RG,T23499,Sitaxsentan
D0Y4FL,T53601,Roxithromycin
D09JXM,T81183,Phenylpropanolamine
D01VAB,T44068,Alprenolol
D0P3DM,T67162,Fencamfamine
D06PAZ,T39716,Encainide
D0F0OK,T88240,Sulfametopyrazine
D0JQ7Y,T94033,Ximelagatran
D0F9SG,T27812,Dexfenfluramine
D00ZGA,T47094,Casopitant
D0D2RN,T89515,Aminopterin
D0Y8UB,T97613,Agomelatine
D00CCI,T11487,Benoxaprofen
D06BPG,T67162,Nomifensine
D08QUV,T55959,Amineptine
D0OS6O,T67162,Sertindole
D0R8FM,T30985,Ebrotidine
D0R6AB,T03403,Droxicam
D0O2IE,T40111,Phenacetin
D06JRD,T60529,Metamizole
D0G1GP,T57211,ISIS 2922
D07KYU,T79961,Benactyzine
D02EAS,T23499,TBC 11251 (TBC)
D0Q5PL,T60529,INDOPROFEN
D0B6PZ,T13260,FORMESTANE
D02LHR,T41580,INDORAMIN
D0M7LV,T32060,LYSERGIC ACID DIETHYLAMIDE
D0C4FT,T80896,HEXESTROL
D0C1XS,T27812,ZIMELIDINE
D02FEA,T31204,FENDILINE
D0QQ1J,T14912,BITHIONOL
D0U2CB,T00140,Ibuproxam
D04SBX,T22348,Temafloxacin
D06KNK,T76910,TDZD-8
D0YK9D,T76910,CHIR-99021
D0YZ8I,T37693,JWH-015
D00RJA,T40111,VX-148
D0A3MV,T76910,AR-A014418
D09BCJ,T78709,PMID30124346-Compound-34TABLE4
D0DM2G,T15776,Bis-indolylmaleimide derivative 1
D0I5KI,T15776,"Dibenzo [c,f]-[2,7]naphthyridine derivative 1"
D0YN2I,T76685,Pyrazole derivative 54
D0C6VX,T15776,PMID25684022-Compound-WO2010127754
D05NUN,T76685,Pyrazole derivative 36
D06MIW,T76685,Pyrazole derivative 37
D0A2PY,T76685,Pyrazole derivative 35
D02JQB,T83193,PMID25666693-Compound-140
D07XZR,T83193,PMID25666693-Compound-134
D08UEC,T83193,PMID25666693-Compound-135
D0CR0H,T83193,PMID25666693-Compound-138
D0K0ZI,T83193,PMID25666693-Compound-141
D0KM0W,T83193,PMID25666693-Compound-137
D0NH2M,T83193,PMID25666693-Compound-142
D0O3TG,T83193,PMID25666693-Compound-136
D0RC7L,T83193,PMID25666693-Compound-139
D0IH3I,T53524,PMID28460551-Compound-1
D0D5YE,T15776,Imidazo quinoline derivative 1
D06RGW,T15776,PMID25684022-Compound-WO2004087707
D0ZV9P,T15776,"Pyrido[4,3-d]pyrimidin-5(6H)-one derivative 1"
D08WTW,T76685,Pyrazole derivative 12
D0N4TZ,T18551,Macrocycle derivative 8
D0KT1Q,T76685,Pyrazole derivative 11
D03VXP,T83193,PMID25666693-Compound-145
D0Z5HH,T83193,PMID25666693-Compound-144
D0D2QE,T46526,PMID26651364-Compound-117b
D0G2EP,T62841,Amidine compound 6
D03SHM,T83193,PMID25666693-Compound-88
D05ZWR,T83193,PMID25666693-Compound-90
D0V9RM,T83193,PMID25666693-Compound-89
D0WJ8R,T83193,PMID25666693-Compound-91
D04CCX,T13629,PMID30107136-Compound-Example14
D01RIT,T76685,Pyrazole derivative 20
D0C4TB,T76685,Pyrazole derivative 22
D0FC8P,T76685,Pyrazole derivative 19
D0K7XA,T76685,Pyrazole derivative 21
D06WAN,T15776,Benzimidazole and imidazopyridine derivative 1
D0LU7K,T76685,"Pyrazolo[1,5-a]pyrimidine derivative 6"
D0LZ1Z,T76685,"Pyrazolo[1,5-a]pyrimidine derivative 7"
D04HBL,T13629,PMID30107136-Compound-Example59
D0FM9V,T13629,PMID30107136-Compound-Example60
D0D7ZU,T76685,Pyrazole derivative 23
D0J5NB,T76685,Pyrazole derivative 25
D0S5NS,T76685,Pyrazole derivative 24
D0CK8H,T15776,Indazole derivative 1
D06IPV,T76685,"Pyrazolo[1,5-a]pyrimidine derivative 2"
D07QLD,T76685,Pyrazole derivative 7
D0F0VY,T76685,"Pyrazolo[1,5-a]pyrimidine derivative 5"
D0H1IX,T76685,Pyrazole derivative 5
D0M9FZ,T76685,Pyrazole derivative 6
D0X7DZ,T76685,"Pyrazolo[1,5-a]pyrimidine derivative 1"
D01KJZ,T76685,Pyrazole derivative 4
D02USE,T15776,Heterocyclic derivative 15
D04BBT,T15776,Heterocyclic derivative 12
D04MHV,T15776,Heterocyclic derivative 17
D05OTD,T15776,Heterocyclic derivative 4
D07HOA,T15776,Heterocyclic derivative 9
D07IQE,T15776,Heterocyclic derivative 10
D09BNP,T15776,Heterocyclic derivative 11
D0AM2D,T15776,Heterocyclic derivative 8
D0D0ML,T15776,Heterocyclic derivative 6
D0EH9Z,T15776,Heterocyclic derivative 14
D0FW3M,T15776,Heterocyclic derivative 18
D0HI8X,T15776,Heterocyclic derivative 13
D0J9DI,T15776,Heterocyclic derivative 5
D0RH6G,T15776,Heterocyclic derivative 16
D0W3JC,T15776,Heterocyclic derivative 7
D0WX4H,T15776,Heterocyclic derivative 19
D04PCT,T18551,PMID30107136-Compound-Example12
D0R7YI,T13629,PMID30107136-Compound-Example13
D03HHD,T76685,Pyrazoline derivative 4
D0CQ1M,T15776,Heterocyclic-carboxamide derivative 2
D0RP4U,T15776,PMID25684022-Compound-WO2006015124
D0CF8Y,T76685,Pyrazoline derivative 3
D0O8FI,T13629,"1,3-dihydroxy phenyl derivative 1"
D0K9QH,T62841,Benzothiazine-carboxamide compound 3
D0DW5P,T83011,Schiff base compound 2
D05RJG,T83875,Schiff base compound 1
D00MGO,T07173,PMID28270021-Compound-WO2016054807Example1
D0M8VS,T07173,PMID28270021-Compound-WO2015042088Example4
D0FA2L,T37693,"N,N-methylenebis-2-phenylacetamide and benzenesulfonamide derivative 3"
D02ZQN,T07173,PMID28270021-Compound-WO2013009582Example16
D0SE7V,T46526,Alkyl mannoside derivative 3
D0LK8E,T07173,PMID28270021-Compound-WO2016054807Example112
D08BIH,T07173,N-acylpyrrolidine ether derivative 2
D0WJ3F,T37693,"N,N-methylenebis-2-phenylacetamide and benzenesulfonamide derivative 2"
D0LT5Y,T62841,Piperazine derivative 5
D0L1PO,T46526,Alkyl mannoside derivative 4
D07CPL,T07173,Bicyclic heteroaryl benzamide derivative 6
D07ZKE,T15776,PMID25684022-Compound-US20120277229 45(1.5)
D0R0SJ,T15776,PMID25684022-Compound-WO2012135799 43(1.5)
D06STX,T07173,Thiadiazolyl carboxamide derivative 1
D0DC2P,T15776,PMID25684022-Compound-WO2012135799 42(1.4)
D0MO0Z,T46526,Alkyl mannoside derivative 5
D0RE3R,T15776,PMID25684022-Compound-US20120277229 44(1.4)
D04RXX,T07173,N-acylpiperidine ether derivative 2
D04EDM,T15776,PMID25684022-Compound-US20120277229 41(1.3)
D04BBA,T15776,Thiazole carboxamide derivative 24
D04QRX,T15776,Thiazole carboxamide derivative 27
D06LCB,T15776,Thiazole carboxamide derivative 9
D06PTW,T15776,Thiazole carboxamide derivative 12
D06WXJ,T15776,Thiazole carboxamide derivative 14
D07MSB,T15776,Thiazole carboxamide derivative 11
D07ZMG,T15776,Thiazole carboxamide derivative 29
D08YPQ,T15776,Thiazole carboxamide derivative 7
D0B2GM,T15776,Thiazole carboxamide derivative 20
D0D8PF,T15776,Thiazole carboxamide derivative 16
D0DO6K,T15776,Thiazole carboxamide derivative 23
D0FJ4A,T15776,Thiazole carboxamide derivative 18
D0GE6F,T15776,Thiazole carboxamide derivative 17
D0GY8G,T15776,Thiazole carboxamide derivative 19
D0H6AF,T15776,Thiazole carboxamide derivative 4
D0HP8K,T15776,Thiazole carboxamide derivative 2
D0KN7T,T15776,Thiazole carboxamide derivative 22
D0P6PT,T15776,Thiazole carboxamide derivative 21
D0PD2I,T15776,Thiazole carboxamide derivative 8
D0Q6RC,T15776,Thiazole carboxamide derivative 1
D0QV1E,T15776,Thiazole carboxamide derivative 28
D0R3VG,T15776,Thiazole carboxamide derivative 3
D0U5HB,T15776,Thiazole carboxamide derivative 5
D0U7LW,T15776,Thiazole carboxamide derivative 26
D0Z5HL,T15776,Thiazole carboxamide derivative 6
D0ZG0K,T15776,Thiazole carboxamide derivative 13
D0EO8F,T78709,PMID30124346-Compound-LDT8
D06LIQ,T97035,Cyclohexyl carbamate derivative 8
D07XBA,T15776,PMID25684022-Compound-US20130053382 36(3-5)
D0B8OB,T15776,PMID25684022-Compound-WO2011137219 36(3-5)
D06LSZ,T15776,PMID25684022-Compound-US20120277229 40(1.2)
D0UB8U,T46526,Alkyl mannoside derivative 6
D0J4UO,T18551,Macrocycle derivative 3
D0OK1S,T99948,PMID30107136-Compound-Example2
D09FQP,T15776,PMID25684022-Compound-US20120277229 39(1.1)
D0E3DS,T46526,Alkyl mannoside derivative 11
D0XV7Y,T13629,"1,3-dihydroxy phenyl derivative 2"
D0F4NB,T78709,PMID30124346-Compound-13TABLE4
D00SVK,T15776,PMID25684022-Compound-WO2011137219 37(4-6)
D0Y0RG,T15776,PMID25684022-Compound-US20130053382 37(4-6)
D01OQQ,T13629,PMID30107136-Compound-Example50
D02UJS,T13629,PMID30107136-Compound-Example49
D03FSF,T83193,PMID25666693-Compound-73
D03HAA,T13629,PMID30107136-Compound-Example45
D05COE,T13629,PMID30107136-Compound-Example52
D05OIU,T77236,PMID27998201-Compound-5
D06BSV,T13629,PMID30107136-Compound-Example46
D07BZW,T83193,PMID25666693-Compound-85
D08JWY,T13629,PMID30107136-Compound-Example43
D08RET,T13629,PMID30107136-Compound-Example47
D08VDV,T59631,PMID30107136-Compound-Example15
D08ZBB,T83193,PMID25666693-Compound-84
